Year	Removals	CGFS_Expl_tons	Q1SWECOS_Expl_tons
1990		310,8993236	
1991		121,632761	
1992		236,1998637	
1993			
1994		628,637443	
1995		156,733255	
1996		33,90574597	
1997		232,1546459	
1998		405,8625948	
1999		101,9845513	
2000		127,6686673	
2001		184,3081992	
2002		121,9344567	
2003		38,60815909	
2004		130,1064864	
2005	943,1476752	138,4725645	
2006	790,0107896	363,5765517	133,483676
2007	760,4505908	404,8913792	413,1265501
2008	650,0716409	168,2144976	623,7664186
2009	387,8493612	407,659058	782,5025454
2010	455,8473179	369,0731805	879,7690633
2011	559,2632004	181,2427481	935,8436104
2012	610,7967397	675,9637625	882,1407925
2013	633,9407839	619,2268716	826,559528
2014	634,9006616	835,2996599	983,8894658
2015	889,2320632	1443,317078	1156,73727
2016	920,0425737	1076,540441	1273,651446
2017	980,9377742	1239,781533	1336,847566
2018	1024,026021	1223,297187	1289,827529
2019	1039,088432	3074,994984	1169,362231
2020	985,1308888	4070,645507	941,494346
